id tweet,author,palabra
1567137984897490945,@luces_0407,con
1567135705616236547,@traselvalle_obc,¡#felizmartes!
1567261206645202947,@joracoes,de
1567278112424992771,@ccbuiza,del
1567198700979486720,@felipeiriarte,foto
1567169435978317825,@vanie_777,quien
1567220568763629570,@gabriel15622202,rt
1567367039714484226,@fjsll,poder
1567135945455009800,@traselvalle_obc,#martes13
1567440482371833856,@heralo068,volcán?
1567211138315685890,@elhoroscopodel1,responsabilidades
1567099566410940418,@rm_nalapa,https://t.co/rt88ntdixw
1567137960914571276,@luisalc84980201,alumbrado
1567105781698367489,@josegre99629032,con
1567301667611181056,@eden_def,#google
1567120079023738884,@traselvalle_obc,pasado
1567359990305898498,@raeiros2,cámara
1567463156158730241,@everyday_kinton,““
1567333584033255425,@johannapuentes,aquí
1567306307392126976,@nell13954509,#tropa
1567255903534997504,@fededela4,¡buen
1567122928990298115,@hordasmoradas,#cloacascontrapodemos
1567142263301591047,@hildaro02160114,desastre
1567146227988324352,@mercede073,👉
1567287247208153098,@johanal58455745,#6sep
1567240146411560961,@m4riagoitia,que
1567167021850279937,@estheryjulio,oskar
1567156391130841088,@minppalf,https://t.co/3zwktz4khi
1567099551491756033,@guarico53,infórmate
1567234425716342784,@cuevas_aranda,fruto
1567492304721817600,@6888galina,@pilyakyurekozci
1567186918898647040,@manutrimack,dia
1567131214481334273,@traselvalle_obc,que
1567133962119561218,@jose56717545573,.@lossifontes
1567182624073940997,@hlpfollowr,😘😘
1567255883041718275,@rafmontoya,te
1567348554250833921,@jorge_avila_d,deben
1567200506786840578,@maramndez1,resultados
1567281209947873282,@ajuradoro,el
1567149581695127553,@benavidesang,#felizmartes
1567302980508033024,@eguerraarias,quepan
1567221808214024193,@vigilspardo,¡¡
1567240812961927178,@yulianelysc,tú?
1567161786557763586,@egmorenor,@cpmarp21
1567230061450854402,@doujosecam,@_vpsops
1567518843190349826,@beatriz77748,@hectorrojas50
1567110606808809472,@locuteur,dios
1567253875819794438,@ofertavehiculos,deals
1567214675988717572,@abs8185yt,aún
1567139363854729217,@tess_mx,despertar
1567396166324600833,@danielnavassund,es
1567176348233252866,@cristributos,#felizmartes
1567487237092245505,@mgaldondiaz,sánchez
1567103356761505799,@vicky_5667_,no
1567121208763731971,@traselvalle_obc,#mascarilla
1567278256105078786,@dark_nigthh,"ilumina,"
1567168854840823812,@rosa18_rm,🌿
1567158782588755970,@aoifearias,felicidades
1567148109930586114,@jesszam77271664,142
1567097753276190720,@recio_nieves,problemas
1567168805364703239,@dlcasarin,@amolina_oficial
1567187503693664258,@libreriarius,en
1567135937775403008,@rafael_leon,de
1567138778107486209,@jjaranaz94,lee
1567262489233997824,@angel46780748,organismo
1567111802135117825,@daaviid700317,y
1567378447122440192,@tribunadenecios,a
1567097849271263232,@pachalou23,un
1567131359788863491,@traselvalle_obc,#lacasadepapel
1567323930750341120,@ppzc,rt
1567166217827254274,@ks7000,es
1567119841206718466,@traselvalle_obc,#russia
1567132672832454656,@aimengan,de
1567548491076976647,@jlasgatw,un
1567137028466253824,@sthefanybaptis2,⭐reducir
1567127323840847875,@karpin_73,tomó
1567330860847841280,@celidtharmeya,#felizmartes
1567180428733304834,@villodres_jl,absoluto
1567164467573534720,@fundaciomona,·
1567398790713294849,@el_osoandino,@rafaelgcurveloe:
1567327580398690309,@roberth2071,y
1567435085875486720,@victoria__86070,𝒚
1567114584648974341,@josemaestre0312,𝗱𝗲𝗹
1567370030467190784,@leersiesparati,pero
1567241634093432832,@barinaga_olano,pese
1567228002907348995,@leoperezquesada,de
1567115729090084866,@concadenas,iii
1567142425461768194,@hectornoe35,#serfelices
